1,DM,Table,14.1-1.1,Subject disposition,All subjects,t141_1_01,p_DemoSum2,Draft
2,DM,Table,14.1-2.1,Number (percent) of subjects in the analysis sets,All subjects,t141_2_01,p_demosum3,Draft
3,DM,Table,14.1-3.1,Summary of demographic information ,Safety analysis set,t141_3_01,p_demosum1,Draft
4,PK,Figure,14.2-1.1,Arithmetic mean (SD) concentration-time plot per treatment (overlaying) and analyte (separately),Pharmacokinetic analysis set,f142_1_01,p_PKFig1,Draft
5,PK,Figure,14.2-1.2,Arithmetic mean (SD) concentration-time plot per treatment (overlaying) and analyte (separately),Pharmacokinetic analysis set,f142_1_02,p_pkfigtest3,Draft
6,PK,Figure,14.2-1.1,Arithmetic mean (SD) serum total xxxxx concentration-time plot per treatment (overlaying),Pharmacokinetic analysis set,f142_1_01,p_pkfigtest3,Draft
7,PD,Figure,14.2-1.3,Scatter plot of LDL-C change from baseline vs PCSK9 change from baseline ,Pharmacodynamic analysis set,f142_1_03,p_pkfigtest3,IA3 - Draft 
8,PK,Figure,14.2-1.2,Overlaying individual concentration-time profiles per treatment and analyte,Pharmacokinetic analysis set,f142_1_02,p_pkfig8,Draft
9,PK,Table,14.2-1.1,Summary statistics for PK parameters of primary interest per treatment and analyte,Pharmacokinetic analysis set,t142_1_01,p_pksum1,Draft
10,PK,Table,14.2-1.2,Summary statistics for PK parameters of secondary interest per treatment and analyte,Pharmacokinetic analysis set,t142_1_02,p_pksum1,Draft
11,PK,Table,14.2-1.7,Summary statistics of concentrations per treatment and analyte,Pharmacokinetic analysis set,t142_1_07,p_pksum2,Draft
12,LB,Table,14.3-1.1,Summary of blood chemistry: SOD POT CHLOR BIC CALC PHOS,Safety analysis set,t143_1_01,p_labsum11,Draft
13,LB,Table,14.3-1.2,Summary of blood chemistry: CREA UREA UACID ALB TPROT GLUC,Safety analysis set,t143_1_02,p_labsum11,Draft
14,LB,Table,14.3-1.3,Summary of blood chemistry: TBIL DBIL IBIL SGOT SGPT GGT ALKPHS,Safety analysis set,t143_1_03,p_labsum11,Draft
15,LB,Table,14.3-1.4,Summary of blood chemistry: LDH LIPASE AMY CK TRIGLY TCHOL,Safety analysis set,t143_1_04,p_labsum11,Draft
16,LB,Table,14.3-2.1,Summary of hematology: EOS LYM BAS MON ,Safety analysis set,t143_2_01,p_labsum11,Draft
17,LB,Table,14.3-2.2,Summary of hematology: ABSNEU ABSEOS ABSLYM ABSBAS ABSMON ,Safety analysis set,t143_2_02,p_labsum11,Draft
